"GeneEnsembl","logFC","logCPM","LR","PValue","regulation","absLogFc","geneId","FDR"
"ENSG00000076662",-1.83997846770798,4.77663853163479,42.9505627350161,5.61407512755059e-11,"down",1.83997846770798,"ICAM3","1.79e-09"
"ENSG00000131018",-2.14050272814922,5.92245427711761,42.9008585954056,5.75853790409134e-11,"down",2.14050272814922,"SYNE1","1.83e-09"
"ENSG00000141867",-1.38490603224874,4.66608637762749,42.838906026363,5.94382056465629e-11,"ns",1.38490603224874,"BRD4","1.87e-09"
"ENSG00000086232",1.14549478900173,9.9568573535159,42.8235295857038,5.99072414755521e-11,"ns",1.14549478900173,"EIF2AK1","1.88e-09"
"ENSG00000172183",-1.4718582997753,5.07379948477019,42.7537485801394,6.20828022789625e-11,"ns",1.4718582997753,"ISG20","1.95e-09"
"ENSG00000100600",1.01972983109845,6.313733764146,42.7122918098734,6.34125659242862e-11,"ns",1.01972983109845,"LGMN","1.99e-09"
"ENSG00000010327",-3.22642579113377,3.72848301233207,42.6885074554072,6.41883023417458e-11,"down",3.22642579113377,"STAB1","2.00e-09"
"ENSG00000101361",-1.81822087635827,5.4052246144476,42.5374454865061,6.93419206070789e-11,"down",1.81822087635827,"NOP56","2.16e-09"
"ENSG00000145833",-1.52152132850727,5.43407290981651,42.5306964109647,6.95815995841793e-11,"down",1.52152132850727,"DDX46","2.16e-09"
"ENSG00000134186",-1.68211057048416,4.40046691311473,42.5008792046814,7.0650457797623e-11,"down",1.68211057048416,"PRPF38B","2.19e-09"
"ENSG00000211450",-1.1969802784834,3.66788549755953,42.3356133167066,7.68797883352429e-11,"ns",1.1969802784834,"SELENOH","2.37e-09"
"ENSG00000204420",1.2153187539599,10.1097086366701,42.2479425028438,8.04045578046357e-11,"ns",1.2153187539599,"MPIG6B","2.48e-09"
"ENSG00000114982",1.0817929997799,6.76024231328509,42.233192829307,8.1013261457898e-11,"ns",1.0817929997799,"KANSL3","2.49e-09"
"ENSG00000140830",1.2066593882213,5.96735778232903,42.1669440291924,8.38046732375581e-11,"ns",1.2066593882213,"TXNL4B","2.57e-09"
"ENSG00000109536",-1.28216081578499,5.32290245253947,42.1372003135839,8.50890541646207e-11,"ns",1.28216081578499,"FRG1","2.60e-09"
"ENSG00000182670",-1.1272876033134,6.60146026032762,42.0833316130468,8.74655566699723e-11,"ns",1.1272876033134,"TTC3","2.67e-09"
"ENSG00000033627",1.5634117596664,5.60096397819407,41.9990590750068,9.13173479623645e-11,"up",1.5634117596664,"ATP6V0A1","2.77e-09"
"ENSG00000184613",-4.3108187835605,4.0409309272273,41.9804262369778,9.21916517305644e-11,"down",4.3108187835605,"NELL2","2.79e-09"
"ENSG00000148362",-2.01249304178685,3.80070888158832,41.8955843646698,9.62798170931256e-11,"down",2.01249304178685,"PAXX","2.90e-09"
"ENSG00000185043",-1.09611475939135,5.83278515210979,41.7883399772814,1.01708151345558e-10,"ns",1.09611475939135,"CIB1","3.06e-09"
"ENSG00000211829",-1.58673075229879,4.76093891664236,41.6225034245552,1.107115691097e-10,"down",1.58673075229879,"NA","3.32e-09"
"ENSG00000108587",-1.35953504801394,4.60579667480866,41.533142568296,1.15889483797266e-10,"ns",1.35953504801394,"GOSR1","3.46e-09"
"ENSG00000115977",-2.66247215398506,3.27325718259863,41.5281639397346,1.16184991468597e-10,"down",2.66247215398506,"AAK1","3.47e-09"
"ENSG00000125351",-1.97909211011622,4.36494405557965,41.4136844378989,1.2319198024165e-10,"down",1.97909211011622,"UPF3B","3.65e-09"
"ENSG00000110514",1.35497202688881,7.77116024780321,41.2660563686209,1.3285603057493e-10,"ns",1.35497202688881,"MADD","3.90e-09"
"ENSG00000165813",-1.9538387092055,4.08057094235022,41.2211213709304,1.35945576309608e-10,"down",1.9538387092055,"CCDC186","3.97e-09"
"ENSG00000114573",1.46613258878818,6.30716233499007,41.2142024555269,1.36427640725353e-10,"ns",1.46613258878818,"ATP6V1A","3.98e-09"
"ENSG00000186166",-2.65576465466894,3.7550120831183,41.198198708518,1.37549243067402e-10,"down",2.65576465466894,"CENATAC","4.00e-09"
"ENSG00000170515",-1.25334435679484,5.05554549005596,41.1893447999562,1.38173719151803e-10,"ns",1.25334435679484,"PA2G4","4.01e-09"
"ENSG00000119383",1.40700638653062,4.95953590338553,41.1786513279455,1.38931726721864e-10,"ns",1.40700638653062,"PTPA","4.03e-09"
"ENSG00000081181",1.2448089258311,5.78294859431853,41.1017653546849,1.44505756636816e-10,"ns",1.2448089258311,"ARG2","4.17e-09"
"ENSG00000188677",1.10845037032307,9.31065561318282,40.7999748945059,1.6863525780709e-10,"ns",1.10845037032307,"PARVB","4.84e-09"
"ENSG00000198478",1.09999386117217,9.25457468765024,40.7450479023765,1.734424129365e-10,"ns",1.09999386117217,"SH3BGRL2","4.96e-09"
"ENSG00000141293",-1.71918402038345,5.68374334220103,40.6330962006609,1.8366925918008e-10,"down",1.71918402038345,"SKAP1","5.24e-09"
"ENSG00000108465",-1.80921683293169,5.15530516670856,40.6176980521438,1.85122334040391e-10,"down",1.80921683293169,"CDK5RAP3","5.27e-09"
"ENSG00000127838",1.07950047059013,6.13222285801499,40.6053214695475,1.86298611231268e-10,"ns",1.07950047059013,"PNKD","5.30e-09"
"ENSG00000115875",-1.31985165894427,6.17470178208227,40.5684378206389,1.89848613645294e-10,"ns",1.31985165894427,"SRSF7","5.39e-09"
"ENSG00000143119",-1.78095803897268,6.69440679131271,40.4829907502435,1.98335132472915e-10,"down",1.78095803897268,"CD53","5.61e-09"
"ENSG00000107672",-2.74370919916029,3.51341311402224,40.443574488355,2.02376907652549e-10,"down",2.74370919916029,"NSMCE4A","5.69e-09"
"ENSG00000120699",-1.53475822081986,5.3601039343679,40.4160194828511,2.05251289960598e-10,"down",1.53475822081986,"EXOSC8","5.77e-09"
"ENSG00000022267",1.18234274470504,7.5223762807901,40.3256570127125,2.14967278028367e-10,"ns",1.18234274470504,"FHL1","6.01e-09"
"ENSG00000269893",-1.80026272291724,4.34990082450579,40.318700709911,2.15734051165276e-10,"down",1.80026272291724,"SNHG8","6.02e-09"
"ENSG00000185305",1.14058115295177,5.76910826515974,40.2331268459627,2.25393665492325e-10,"ns",1.14058115295177,"ARL15","6.24e-09"
"ENSG00000123908",1.59953631223314,3.62734827658108,40.2028813915841,2.28910368095507e-10,"up",1.59953631223314,"AGO2","6.32e-09"
"ENSG00000087053",1.38808233796166,7.16445447559555,40.0636208957256,2.45824641302951e-10,"ns",1.38808233796166,"MTMR2","6.74e-09"
"ENSG00000114904",1.11291965140241,5.7529003271462,40.0431519905338,2.48414074411201e-10,"ns",1.11291965140241,"NEK4","6.80e-09"
"ENSG00000142875",1.31785833365639,8.44819459545304,39.9711486718589,2.57741807879663e-10,"ns",1.31785833365639,"PRKACB","7.05e-09"
"ENSG00000205981",-1.51279533296221,3.85865328624238,39.8831181390939,2.69623528908277e-10,"down",1.51279533296221,"DNAJC19","7.33e-09"
"ENSG00000171490",-1.28858626092909,7.16964427278154,39.7676931112352,2.86037603748905e-10,"ns",1.28858626092909,"RSL1D1","7.73e-09"
"ENSG00000100345",1.14921548182253,10.592219880968,39.7459675473333,2.8923717273966e-10,"ns",1.14921548182253,"MYH9","7.80e-09"
"ENSG00000005955",-1.5073683437019,5.348259442106,39.7241154997068,2.92491513350122e-10,"down",1.5073683437019,"NA","7.85e-09"
"ENSG00000111371",-2.07179045878238,5.47958754237969,39.7006100761792,2.96033018698879e-10,"down",2.07179045878238,"SLC38A1","7.92e-09"
"ENSG00000135847",-2.65772544304714,3.01712753374304,39.6867386945074,2.98143095078302e-10,"down",2.65772544304714,"NA","7.96e-09"
"ENSG00000005059",-2.04245543089051,4.14116580376671,39.5407183837401,3.21289850647242e-10,"down",2.04245543089051,"MCUB","8.54e-09"
"ENSG00000152601",1.12825337101573,10.7031412575163,39.4411366527819,3.38098868375396e-10,"ns",1.12825337101573,"MBNL1","8.94e-09"
"ENSG00000119636",1.31740437549969,3.28885968260204,39.3658181921333,3.51394679436912e-10,"ns",1.31740437549969,"BBOF1","9.26e-09"
"ENSG00000163564",-2.08478591199681,4.34615055156894,39.2675697227573,3.69528182921575e-10,"down",2.08478591199681,"PYHIN1","9.73e-09"
"ENSG00000173020",-2.19450631346727,3.37579380177497,39.2420935727704,3.74381313855871e-10,"down",2.19450631346727,"GRK2","9.82e-09"
"ENSG00000187800",1.20767053144672,5.90716058246104,39.2085749927676,3.80863844635822e-10,"ns",1.20767053144672,"PEAR1","9.98e-09"
"ENSG00000112308",1.36325652536557,10.1138622895496,39.0420855978024,4.14767158641902e-10,"ns",1.36325652536557,"C6orf62","1.08e-08"
"ENSG00000172890",-2.24332933217554,4.30979086982226,38.9733632699885,4.29627725832743e-10,"down",2.24332933217554,"NADSYN1","1.11e-08"
"ENSG00000239951",-2.71374724638924,3.42759035649002,38.9148885219739,4.4269136717206e-10,"down",2.71374724638924,"IGKV3-20","1.14e-08"
"ENSG00000115677",1.02958213304928,6.14957225990003,38.8904191665549,4.48275321865281e-10,"ns",1.02958213304928,"HDLBP","1.15e-08"
"ENSG00000204257",-1.38431283989211,5.66417274295834,38.8000145882428,4.69524346328403e-10,"ns",1.38431283989211,"HLA-DMA","1.20e-08"
"ENSG00000163516",-2.4004341710573,3.53104153416016,38.5274630491005,5.39886095412809e-10,"down",2.4004341710573,"ANKZF1","1.37e-08"
"ENSG00000100100",-2.44522518701857,3.04244914132757,38.4240344227928,5.69269736305865e-10,"down",2.44522518701857,"PIK3IP1","1.44e-08"
"ENSG00000117400",1.2665174637276,7.64653486411966,38.3923009078014,5.78602142103205e-10,"ns",1.2665174637276,"MPL","1.46e-08"
"ENSG00000198814",1.07742587794701,6.18017456227766,38.3808114786807,5.82018668675356e-10,"ns",1.07742587794701,"GK","1.47e-08"
"ENSG00000198625",-2.23203238330525,5.02130923477578,38.3725672089083,5.84482645526232e-10,"down",2.23203238330525,"MDM4","1.47e-08"
"ENSG00000113141",-1.01462135990134,6.93363279708382,38.2966077527383,6.07681905300149e-10,"ns",1.01462135990134,"IK","1.52e-08"
"ENSG00000067082",-1.36324501701823,5.74745442419814,38.2367697955493,6.26604799996983e-10,"ns",1.36324501701823,"KLF6","1.56e-08"
"ENSG00000125835",-1.18691490619214,5.08407370856013,38.2352142565522,6.27104506068183e-10,"ns",1.18691490619214,"SNRPB","1.56e-08"
"ENSG00000162777",-1.45284362268899,5.56653701313905,38.1329196980381,6.6085705914176e-10,"ns",1.45284362268899,"DENND2D","1.64e-08"
"ENSG00000180376",-1.34887615489391,4.77338896227061,38.0627768364591,6.85046406775159e-10,"ns",1.34887615489391,"CCDC66","1.69e-08"
"ENSG00000156990",-2.40916367493977,3.19544340091514,37.9920208748139,7.1034544073586e-10,"down",2.40916367493977,"RPUSD3","1.75e-08"
"ENSG00000182872",-2.30690644817743,3.50527005777673,37.9635987969025,7.2076929101718e-10,"down",2.30690644817743,"RBM10","1.77e-08"
"ENSG00000167632",1.02127369395511,6.62207384480746,37.9610356888428,7.21716810627149e-10,"ns",1.02127369395511,"TRAPPC9","1.77e-08"
